Employee_ID,Region,Country,Department,Work_Type,Gender,Age,Tenure_Years,Salary_Band,eNPS,Safety_Culture,Cross_Border_Collab,Leadership_Trust,Work_Life_Balance,Career_Growth,Inclusion_Diversity,Operational_Stress,Fair_Compensation,Tech_Adequacy,Recognition,Environmental_Pride,Engagement,Job_Security,Managerial_Support,Ethical_Standards,Training_Quality,Communication_Clarity,Team_Cohesion,Retention_Intent,Open_Comments
MAR-00018,North America,USA,Logistics-Trucking,Offshore/Vessel,Male,46.8,19.8,Mid,2,4,3,4,5,1,3,4,2,4,4,4,3,4,4,4,4,4,3,3,
MAR-00019,Central America,Panama,Sales/Customer Service,Remote,Male,42.1,12.1,Senior,3,4,4,3,3,4,3,3,4,4,3,4,4,4,3,5,3,2,5,3,
MAR-00020,North America,Canada,Sales/Customer Service,On-site,Male,43.4,14.4,Junior,3,4,2,3,2,3,4,4,4,2,2,3,3,4,5,3,4,4,4,3,
MAR-00021,South America,Chile,Maritime-Crew,Offshore/Vessel,Male,28.7,0.7,Mid,3,4,4,3,2,3,3,5,2,2,2,2,3,3,3,4,4,4,3,4,
MAR-00022,North America,Mexico,Logistics-Trucking,On-site,Male,33.6,5.6,Junior,3,3,3,2,3,3,4,5,2,4,3,4,3,2,3,3,3,3,3,4,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00023,Central America,Panama,IT,Remote,Female,49.5,22.5,Mid,3,4,4,4,4,2,4,2,4,4,3,4,5,5,3,4,4,3,4,3,
MAR-00024,North America,USA,Logistics-Trucking,On-site,Male,28.0,1.0,Junior,4,3,2,2,3,3,3,5,4,3,4,4,3,4,3,3,4,3,3,5,"IT systems are adequate but aging in some operational areas. Career growth discussions happen but follow-through on promised timelines is uneven. The team is good, though cross-border alignment can be slow."
MAR-00025,North America,USA,Logistics-Trucking,On-site,Male,44.7,22.7,Junior,4,4,3,4,3,3,3,4,3,4,4,4,3,4,3,4,2,3,2,2,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00026,South America,Colombia,Operations-Ports,On-site,Male,31.3,3.3,Mid,4,4,3,2,1,2,5,4,3,4,2,3,3,3,3,4,4,3,4,3,
MAR-00027,South America,Chile,Logistics-Trucking,Remote,Female,29.8,3.8,Senior,3,3,4,3,4,3,4,3,4,4,3,3,3,4,2,4,3,4,2,2,
MAR-00028,South America,Argentina,Operations-Ports,On-site,Female,32.8,4.8,Mid,2,3,4,3,3,3,4,3,4,4,4,4,4,5,2,3,3,3,3,3,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00029,South America,Brazil,Maritime-Crew,Offshore/Vessel,Male,47.1,20.1,Mid,3,4,3,3,2,3,3,4,4,4,2,3,4,3,3,2,4,4,3,3,
MAR-00030,North America,Canada,Sales/Customer Service,Remote,Female,41.2,12.2,Senior,2,3,3,3,4,5,3,3,4,5,3,4,5,2,2,3,3,4,4,2,
MAR-00031,South America,Peru,Operations-Ports,Remote,Male,28.1,4.1,Junior,4,3,4,3,3,4,4,4,2,4,3,2,2,4,2,3,4,4,3,4,
MAR-00032,North America,Canada,Operations-Ports,On-site,Female,46.3,17.3,Junior,3,3,4,3,4,3,3,4,3,2,5,5,3,3,3,3,3,3,4,4,
MAR-00033,North America,USA,Logistics-Trucking,On-site,Female,51.5,23.5,Junior,2,4,5,4,3,3,4,2,4,3,5,3,5,3,3,4,3,4,4,3,
MAR-00034,South America,Chile,Logistics-Trucking,On-site,Female,36.5,14.5,Senior,2,3,3,3,3,2,2,4,3,2,4,4,3,2,3,4,5,4,4,3,
MAR-00035,South America,Argentina,Logistics-Trucking,On-site,Female,26.9,2.9,Mid,4,4,4,3,3,2,4,4,3,3,4,2,3,2,4,3,2,3,3,3,There are opportunities here but navigating them requires initiative. Safety culture is solid in my area; I cannot speak for all ports. Compensation is acceptable though not leading for the industry.
MAR-00036,South America,Peru,IT,Remote,Male,26.8,1.8,Junior,4,3,3,3,5,4,3,3,3,4,5,5,4,3,5,3,2,4,3,4,
MAR-00037,South America,Colombia,Maritime-Crew,Offshore/Vessel,Male,50.0,20.0,Mid,3,4,2,2,2,4,4,5,3,3,4,3,4,3,4,4,4,4,2,1,
MAR-00038,South America,Argentina,Sales/Customer Service,Remote,Male,42.8,15.8,Senior,4,4,3,2,3,4,5,4,3,3,3,3,3,5,4,4,3,4,4,4,
MAR-00039,North America,Canada,IT,Remote,Non-binary,51.1,23.1,Junior,4,4,4,4,4,2,3,2,3,5,5,4,4,5,3,4,3,4,3,2,
MAR-00040,South America,Argentina,Maritime-Crew,Offshore/Vessel,Male,39.9,13.9,Mid,3,3,5,4,2,4,3,5,3,3,3,3,4,3,2,3,4,4,4,3,"IT systems are adequate but aging in some operational areas. Career growth discussions happen but follow-through on promised timelines is uneven. The team is good, though cross-border alignment can be slow."
MAR-00041,South America,Chile,Operations-Ports,On-site,Male,26.0,2.0,Mid,3,3,4,4,4,4,3,3,3,4,3,2,3,3,3,4,3,4,4,2,
MAR-00042,South America,Peru,Operations-Ports,On-site,Male,36.4,10.4,Mid,3,4,3,2,2,3,3,3,4,2,4,4,3,3,4,3,3,4,5,3,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00043,South America,Brazil,IT,Remote,Male,44.6,16.6,Mid,5,3,5,3,4,3,5,3,3,5,3,3,4,4,3,3,4,4,2,4,
MAR-00044,Central America,Panama,HR,Remote,Female,39.9,9.9,Senior,3,2,3,3,3,4,2,3,3,3,4,3,4,3,2,2,3,3,3,3,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00045,South America,Peru,IT,Remote,Male,55.0,25.0,Senior,4,4,3,3,3,3,4,2,2,3,3,3,3,4,4,4,3,3,4,2,
MAR-00046,North America,Mexico,Operations-Ports,Offshore/Vessel,Male,39.4,10.4,Mid,4,3,3,5,3,5,3,3,3,3,3,4,4,3,4,4,4,4,4,2,There are opportunities here but navigating them requires initiative. Safety culture is solid in my area; I cannot speak for all ports. Compensation is acceptable though not leading for the industry.
MAR-00047,South America,Chile,Maritime-Crew,Offshore/Vessel,Male,39.9,13.9,Junior,3,3,3,3,2,5,3,5,3,3,3,4,4,4,3,4,3,3,4,4,
MAR-00048,North America,USA,Logistics-Trucking,Offshore/Vessel,Female,34.0,6.0,Junior,4,4,4,2,4,3,4,1,2,1,1,4,2,3,4,4,3,5,3,2,
MAR-00049,North America,Canada,Maritime-Crew,Offshore/Vessel,Male,29.2,4.2,Mid,5,3,3,3,2,2,3,4,4,3,3,3,4,4,3,3,4,3,2,3,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00050,North America,Mexico,Maritime-Crew,Offshore/Vessel,Male,42.3,16.3,Junior,4,2,4,4,2,3,2,5,3,3,4,4,5,4,2,4,4,3,3,3,
MAR-00051,North America,Mexico,Logistics-Trucking,On-site,Female,39.9,14.9,Junior,3,3,3,4,3,4,4,3,4,4,3,4,3,2,3,3,3,3,3,4,
MAR-00052,North America,Canada,Maritime-Crew,Offshore/Vessel,Male,24.6,0.6,Junior,4,4,4,4,1,3,2,5,3,4,4,5,3,3,3,3,4,3,4,3,
MAR-00053,North America,Mexico,HR,On-site,Male,29.5,7.5,Mid,3,4,4,3,3,3,3,4,3,4,3,4,3,5,4,4,4,4,3,4,
MAR-00054,Central America,Guatemala,Maritime-Crew,Offshore/Vessel,Female,42.3,16.3,Junior,3,4,3,4,1,3,3,5,4,3,3,3,3,2,4,4,4,5,3,4,
MAR-00055,Central America,Panama,Logistics-Trucking,On-site,Male,43.4,20.4,Mid,4,3,4,3,3,3,2,2,4,3,3,3,4,4,3,4,5,4,4,4,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00056,North America,Canada,Maritime-Crew,Offshore/Vessel,Male,35.2,8.2,Junior,4,4,4,4,1,4,2,4,4,4,4,3,3,3,4,3,4,3,4,2,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00057,North America,USA,Operations-Ports,On-site,Male,42.4,16.4,Mid,4,3,3,3,3,3,5,3,3,2,3,3,3,5,4,4,3,3,3,3,
MAR-00058,South America,Brazil,Maritime-Crew,Offshore/Vessel,Male,30.0,7.0,Mid,5,2,2,3,2,4,4,4,4,4,4,4,4,3,3,3,3,4,2,2,
MAR-00059,North America,Mexico,Logistics-Trucking,On-site,Male,46.4,17.4,Senior,3,3,3,2,3,3,5,5,3,3,3,2,4,3,3,2,3,4,4,4,
MAR-00060,North America,USA,Operations-Ports,On-site,Female,43.6,17.6,Mid,2,4,3,4,3,2,3,4,4,3,4,4,4,4,4,5,3,3,4,3,
MAR-00061,North America,Canada,Operations-Ports,Remote,Female,26.7,3.7,Senior,2,3,4,3,3,3,3,3,5,4,4,2,2,3,2,2,2,2,3,4,Management is well-intentioned but communication about strategic changes can lag. Benefits are competitive. I would recommend this company to others with realistic expectations about the industry pace.
MAR-00062,North America,Canada,Logistics-Trucking,On-site,Female,38.8,16.8,Junior,3,4,4,4,3,3,4,3,4,4,3,3,3,4,4,3,3,4,4,4,
MAR-00063,South America,Brazil,Logistics-Trucking,Remote,Male,31.7,8.7,Mid,4,3,5,3,4,3,3,2,3,2,4,4,3,4,3,3,4,3,5,3,
MAR-00064,North America,Canada,Operations-Ports,On-site,Male,26.7,4.7,Junior,4,3,4,3,3,3,3,4,4,4,4,4,3,4,3,3,3,5,4,3,
MAR-00065,Central America,Costa Rica,Operations-Ports,On-site,Female,36.8,12.8,Senior,4,2,2,4,3,4,2,3,5,4,4,3,3,2,3,4,2,3,3,3,
MAR-00066,North America,USA,Logistics-Trucking,On-site,Male,35.6,11.6,Junior,3,2,4,4,3,2,3,4,1,3,3,4,3,4,3,5,3,4,2,4,
MAR-00067,South America,Colombia,Logistics-Trucking,Remote,Male,41.5,19.5,Mid,3,3,3,2,4,4,4,2,3,4,2,3,4,4,4,5,4,4,5,3,
MAR-00068,South America,Colombia,Logistics-Trucking,On-site,Female,30.6,2.6,Mid,3,4,4,3,3,5,4,3,4,3,3,4,2,4,4,4,3,3,3,3,
MAR-00069,North America,USA,Maritime-Crew,Offshore/Vessel,Male,47.8,19.8,Senior,3,4,2,4,2,3,3,5,4,4,2,4,4,2,3,4,4,4,4,4,
MAR-00070,North America,Mexico,Sales/Customer Service,On-site,Male,33.1,3.1,Junior,4,1,3,3,2,3,4,3,4,3,3,4,2,4,1,5,4,3,4,2,
MAR-00071,North America,USA,Operations-Ports,Offshore/Vessel,Male,31.6,5.6,Mid,4,3,3,3,3,4,4,4,3,4,3,5,2,4,3,3,5,4,4,3,
MAR-00072,South America,Brazil,IT,Remote,Female,38.1,13.1,Executive,3,3,4,4,4,3,4,3,4,4,3,3,3,2,3,3,3,1,3,4,The safety protocols on board have improved significantly this year. Leadership is responsive and I feel supported in my role. Overall morale across my team is strong.
MAR-00073,North America,Canada,HR,Remote,Male,37.8,11.8,Junior,3,4,2,4,3,4,5,4,3,3,3,4,3,3,4,3,5,3,5,4,
MAR-00074,Central America,Costa Rica,Operations-Ports,On-site,Male,53.7,24.7,Executive,4,3,3,4,4,3,2,2,2,2,3,4,4,2,4,3,5,2,3,5,The company's environmental initiatives are something I genuinely believe in. My colleagues are collaborative and professional. I feel secure in my position and motivated to grow here.
MAR-00075,North America,USA,Logistics-Trucking,On-site,Male,43.9,14.9,Junior,4,4,3,4,4,3,4,2,4,4,3,3,3,3,3,3,4,3,4,3,
MAR-00076,North America,USA,IT,Remote,Female,33.5,8.5,Senior,3,3,4,4,4,4,2,2,5,4,3,4,4,2,2,4,3,4,3,2,
MAR-00077,North America,USA,Maritime-Crew,Offshore/Vessel,Male,51.6,22.6,Executive,3,1,3,3,1,4,4,5,2,4,4,4,4,3,3,3,4,2,3,4,
MAR-00078,North America,Canada,IT,Remote,Male,33.1,8.1,Executive,3,4,4,3,5,5,2,2,4,4,3,3,5,3,4,3,3,4,4,5,
MAR-00079,North America,Canada,HR,Remote,Female,32.2,7.2,Mid,3,3,3,3,3,3,3,4,4,2,3,3,4,3,3,3,3,4,2,4,
MAR-00080,North America,USA,Logistics-Trucking,On-site,Male,41.6,12.6,Senior,4,3,4,3,3,2,2,4,3,3,2,2,3,3,3,4,4,4,5,3,
MAR-00081,Central America,Honduras,HR,On-site,Male,45.9,22.9,Junior,3,4,4,2,3,4,4,4,3,3,4,3,4,4,4,4,5,2,4,3,
MAR-00082,North America,Canada,Logistics-Trucking,On-site,Male,42.9,17.9,Mid,4,3,4,4,4,4,2,5,4,4,3,3,4,4,4,4,2,4,3,3,
MAR-00083,South America,Peru,Logistics-Trucking,On-site,Female,39.1,17.1,Junior,2,4,2,4,2,3,3,4,3,3,3,4,4,3,3,2,4,2,4,3,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00084,South America,Chile,IT,Remote,Male,40.3,18.3,Mid,5,3,3,3,5,2,4,2,2,3,1,2,1,4,3,2,4,4,3,1,
MAR-00085,South America,Colombia,Maritime-Crew,Offshore/Vessel,Female,45.7,16.7,Mid,2,3,3,4,2,3,3,5,3,4,3,2,3,3,2,4,3,5,2,3,
MAR-00086,South America,Brazil,Operations-Ports,On-site,Male,44.1,19.1,Junior,3,3,3,2,4,4,3,4,4,3,3,2,4,4,3,3,3,3,4,2,
MAR-00087,North America,Mexico,Operations-Ports,Remote,Non-binary,32.2,5.2,Executive,4,2,3,5,4,3,3,3,3,3,3,3,3,2,3,4,2,3,3,3,
MAR-00088,North America,Mexico,HR,On-site,Female,30.8,4.8,Mid,3,4,4,2,4,3,3,4,3,4,3,3,3,3,3,4,5,5,3,3,
MAR-00089,South America,Chile,Sales/Customer Service,On-site,Non-binary,36.4,9.4,Senior,3,3,3,3,3,3,3,4,3,5,3,3,2,5,3,4,2,4,3,4,
MAR-00090,Central America,Guatemala,Logistics-Trucking,On-site,Male,46.3,21.3,Senior,4,3,2,3,4,4,4,2,4,4,2,3,4,4,2,3,3,3,3,3,
MAR-00091,Central America,Costa Rica,Logistics-Trucking,Offshore/Vessel,Male,43.0,18.0,Senior,3,4,3,3,3,2,4,3,3,4,2,2,4,4,4,3,4,4,4,3,
MAR-00092,North America,USA,Logistics-Trucking,Offshore/Vessel,Female,42.4,14.4,Junior,2,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,4,3,4,3,
MAR-00093,Central America,Guatemala,IT,Remote,Female,23.0,1.0,Mid,3,3,4,2,3,2,3,2,3,4,3,3,3,4,3,3,3,4,4,2,
MAR-00094,South America,Chile,Maritime-Crew,Offshore/Vessel,Female,36.3,6.3,Junior,4,3,4,4,2,4,3,5,3,4,4,3,3,2,2,2,4,5,4,2,
MAR-00095,North America,Mexico,Operations-Ports,On-site,Male,44.2,20.2,Junior,4,4,3,3,2,3,3,4,2,4,4,3,3,2,3,3,2,4,3,3,
MAR-00096,South America,Peru,Maritime-Crew,Offshore/Vessel,Male,31.4,6.4,Junior,3,4,4,3,2,3,3,4,3,4,3,4,4,1,4,1,3,4,3,2,
MAR-00097,North America,Canada,Logistics-Trucking,On-site,Female,48.4,18.4,Mid,3,4,2,4,3,2,3,3,4,4,2,3,3,5,3,5,3,3,3,3,
MAR-00098,North America,Canada,Operations-Ports,On-site,Female,31.0,5.0,Junior,3,3,3,2,3,2,3,3,3,5,3,4,2,3,3,3,4,3,3,3,
MAR-00099,North America,USA,IT,Remote,Male,40.4,15.4,Mid,4,3,3,3,3,3,4,3,3,5,3,3,4,5,2,4,2,4,5,4,"IT systems are adequate but aging in some operational areas. Career growth discussions happen but follow-through on promised timelines is uneven. The team is good, though cross-border alignment can be slow."
MAR-00100,Central America,Honduras,Sales/Customer Service,On-site,Female,42.9,15.9,Mid,4,3,3,1,3,3,4,3,1,2,2,4,1,5,3,4,4,3,3,3,
MAR-00101,South America,Peru,Operations-Ports,On-site,Female,40.9,18.9,Junior,3,3,4,4,2,4,3,3,4,4,3,5,4,4,3,4,3,3,4,4,
MAR-00102,Central America,Costa Rica,HR,On-site,Male,33.2,11.2,Mid,3,3,3,3,2,2,4,2,4,3,4,3,4,3,4,4,3,4,3,4,
MAR-00103,Central America,Guatemala,HR,Remote,Female,42.0,16.0,Mid,4,4,5,3,2,2,4,4,3,3,4,3,4,5,4,4,3,2,3,3,
MAR-00104,North America,USA,Operations-Ports,Offshore/Vessel,Male,38.4,12.4,Executive,2,5,4,4,3,3,4,3,4,3,3,2,2,3,5,2,3,3,2,3,
MAR-00105,North America,Canada,Operations-Ports,On-site,Female,53.7,23.7,Junior,4,4,3,4,4,4,3,3,3,4,4,4,4,5,4,4,4,3,2,4,
MAR-00106,North America,Mexico,Operations-Ports,On-site,Female,35.3,13.3,Mid,4,2,3,4,3,3,4,3,3,4,4,4,4,4,3,3,3,3,4,4,
MAR-00107,South America,Brazil,Maritime-Crew,Offshore/Vessel,Male,29.6,5.6,Mid,4,3,3,3,2,4,5,4,4,4,3,5,3,3,3,3,4,4,4,4,
MAR-00108,North America,Canada,Logistics-Trucking,On-site,Female,40.9,16.9,Senior,3,3,5,4,3,2,3,4,3,3,3,4,3,3,3,4,4,3,4,3,
MAR-00109,South America,Colombia,Maritime-Crew,Offshore/Vessel,Female,38.9,13.9,Mid,3,3,4,4,2,4,5,3,3,3,3,3,3,2,3,3,4,4,4,2,
MAR-00110,North America,USA,IT,On-site,Female,48.2,20.2,Mid,5,4,2,3,3,3,3,2,5,4,4,3,3,4,4,2,3,3,3,3,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00111,North America,USA,HR,On-site,Male,32.8,4.8,Mid,3,3,3,4,4,3,3,4,4,3,4,4,4,5,3,3,3,3,3,2,
MAR-00112,North America,USA,Sales/Customer Service,Remote,Male,32.9,6.9,Junior,3,3,3,3,3,4,4,4,5,4,4,3,2,5,3,3,3,3,3,3,
MAR-00113,North America,Canada,Logistics-Trucking,On-site,Female,53.1,23.1,Junior,4,3,2,4,4,3,2,3,3,4,3,3,4,2,3,3,4,4,4,4,
MAR-00114,South America,Peru,Maritime-Crew,Offshore/Vessel,Male,51.3,23.3,Mid,2,3,3,1,3,4,4,4,1,3,2,3,3,4,3,1,3,5,3,1,
MAR-00115,South America,Peru,HR,On-site,Male,34.3,11.3,Mid,4,3,4,4,4,4,4,5,4,2,4,4,4,3,3,4,5,3,3,3,
MAR-00116,South America,Chile,IT,Remote,Male,25.7,1.7,Mid,3,3,1,3,4,3,5,2,4,4,4,3,4,3,2,4,3,4,5,3,
MAR-00117,South America,Brazil,Sales/Customer Service,On-site,Male,36.0,8.0,Mid,4,4,4,3,2,4,2,4,4,4,3,2,4,3,4,3,5,4,4,4,
MAR-00118,Central America,Honduras,Sales/Customer Service,On-site,Female,32.6,6.6,Junior,4,3,2,3,4,3,3,3,4,4,4,4,3,4,3,2,4,4,4,4,
MAR-00119,South America,Brazil,Logistics-Trucking,Remote,Female,38.7,10.7,Mid,4,3,3,4,5,4,4,3,3,4,3,3,3,5,2,2,4,3,3,3,
MAR-00120,South America,Chile,Logistics-Trucking,On-site,Female,38.3,8.3,Senior,3,4,2,3,4,3,2,4,4,3,2,4,2,4,3,3,3,3,3,4,
MAR-00121,South America,Argentina,Logistics-Trucking,On-site,Female,50.8,20.8,Senior,3,4,4,3,3,2,4,3,2,3,3,5,3,3,4,4,3,3,4,2,
MAR-00122,North America,USA,Maritime-Crew,Offshore/Vessel,Female,24.6,0.6,Junior,2,3,4,3,2,4,5,4,3,5,2,3,3,3,3,3,3,4,4,3,
MAR-00123,Central America,Honduras,Sales/Customer Service,Offshore/Vessel,Male,45.3,16.3,Mid,3,4,3,4,4,5,3,3,4,4,3,3,4,3,3,3,4,3,2,2,"Work schedules could be more predictable, especially during high-season port congestion. Recognition programs exist but feel inconsistent across departments. Better inter-regional communication would improve coordination."
MAR-00124,Central America,Honduras,Operations-Ports,On-site,Female,43.8,16.8,Executive,3,2,3,3,3,2,3,4,4,3,3,3,4,4,3,3,2,4,4,3,"IT systems are adequate but aging in some operational areas. Career growth discussions happen but follow-through on promised timelines is uneven. The team is good, though cross-border alignment can be slow."
MAR-00125,North America,Canada,IT,On-site,Male,41.7,16.7,Senior,5,3,4,3,4,3,3,3,4,4,4,3,4,4,4,5,3,2,3,4,The company's environmental initiatives are something I genuinely believe in. My colleagues are collaborative and professional. I feel secure in my position and motivated to grow here.
MAR-00126,Central America,Costa Rica,Operations-Ports,On-site,Male,38.3,13.3,Mid,4,4,4,4,4,5,4,4,4,3,4,5,5,4,5,3,3,4,4,4,
MAR-00127,South America,Chile,Logistics-Trucking,Remote,Male,40.5,15.5,Mid,3,5,3,2,5,3,3,3,4,3,4,4,4,4,4,4,3,2,4,4,
MAR-00128,Central America,Panama,Logistics-Trucking,On-site,Male,48.4,20.4,Mid,4,4,3,4,3,3,3,5,2,4,2,3,3,3,3,3,2,4,4,4,There are opportunities here but navigating them requires initiative. Safety culture is solid in my area; I cannot speak for all ports. Compensation is acceptable though not leading for the industry.
MAR-00129,Central America,Costa Rica,IT,Remote,Male,46.7,19.7,Mid,4,3,4,5,5,2,4,3,2,4,5,4,5,4,3,4,3,3,4,4,
MAR-00130,North America,USA,Maritime-Crew,Offshore/Vessel,Male,24.3,1.3,Junior,3,4,3,4,2,4,3,5,4,4,3,5,4,4,3,3,4,4,2,4,
MAR-00131,South America,Colombia,Maritime-Crew,Offshore/Vessel,Male,27.2,1.2,Mid,3,4,3,4,2,3,3,4,4,2,2,4,3,3,3,3,3,4,3,4,
MAR-00132,North America,USA,Operations-Ports,On-site,Male,47.1,21.1,Senior,3,3,4,4,3,5,4,4,3,3,4,3,5,4,4,4,3,3,4,4,
MAR-00133,South America,Colombia,IT,Remote,Male,41.6,14.6,Executive,4,3,3,3,5,3,5,2,4,5,3,2,4,3,4,3,4,3,3,4,
MAR-00134,South America,Peru,Maritime-Crew,Offshore/Vessel,Male,52.0,24.0,Junior,3,3,3,2,1,3,3,5,3,3,4,4,3,4,3,4,4,4,2,3,Safety incidents are sometimes underreported due to pressure to maintain schedules. This is a serious cultural issue that needs leadership attention. I do not feel my concerns are taken seriously.
MAR-00135,South America,Chile,Operations-Ports,Offshore/Vessel,Male,40.1,11.1,Senior,4,3,4,3,2,3,2,3,4,2,3,3,3,3,3,4,4,4,4,3,There are opportunities here but navigating them requires initiative. Safety culture is solid in my area; I cannot speak for all ports. Compensation is acceptable though not leading for the industry.
MAR-00136,North America,Canada,HR,On-site,Male,33.8,4.8,Junior,4,3,4,3,4,3,4,1,2,3,1,4,1,3,3,3,3,4,4,1,
MAR-00137,North America,Canada,Maritime-Crew,Offshore/Vessel,Female,38.1,12.1,Executive,4,4,2,4,2,3,3,5,5,3,3,2,5,2,3,3,3,3,5,4,
MAR-00138,South America,Brazil,Sales/Customer Service,Remote,Female,34.2,11.2,Junior,3,4,3,2,4,4,4,3,3,4,4,3,2,3,4,3,4,4,4,4,"My direct manager is supportive, though upper leadership feels distant from daily operational realities. Training quality varies depending on location. Job security feels reasonable given current freight market conditions."
MAR-00139,South America,Chile,Logistics-Trucking,On-site,Female,42.2,13.2,Mid,3,2,3,4,3,3,2,5,4,4,4,4,3,3,3,5,4,3,4,3,
MAR-00140,South America,Peru,Maritime-Crew,Offshore/Vessel,Female,47.3,20.3,Junior,4,3,4,4,2,3,3,5,3,3,4,3,3,3,4,4,4,3,4,2,
MAR-00141,Central America,Honduras,Maritime-Crew,Offshore/Vessel,Female,40.6,16.6,Mid,3,4,4,3,1,3,5,3,4,2,3,3,3,3,4,3,2,4,4,3,
